answer,confidence,evidence,abstained,latency_s,input_tokens,output_tokens,cost_usd,tool_calls,files_opened,k,model,retrieved,error,run_id,seed,qid,channel,difficulty,locale,arm,mode,repeat,correct,judged_by,judge_reason,answered,num_turns
59663000,0.97,"['quotes/QT-1641_quotation.xlsx:サマリ!B2', 'quotes/QT-1641_quotation.xlsx:明細!D4:D13']",False,13.65120150000439,6629,451,0.0210888,0,[],8,claude-sonnet-5,"['quotes/QT-1641_quotation.xlsx::シート サマリ', 'quotes/QT-1641_quotation.xlsx::シート 明細', 'quotes/QT-7635_quotation.xlsx::シート サマリ', 'quotes/QT-6279_quotation.xlsx::シート サマリ', 'quotes/QT-7543_quotation.xlsx::シート サマリ', 'quotes/QT-4752_quotation.xlsx::シート サマリ', 'quotes/QT-9281_quotation.xlsx::シート サマリ', 'quotes/QT-8233_quotation.xlsx::シート サマリ']",,pilot-k8-forced,42,formula-01,formula,1,ja,classical,forced,0,True,exact,,True,
"32,837,000円",0.95,"['quotes/QT-2757_quotation.xlsx:明細!A6:E6', 'quotes/QT-2757_quotation.xlsx:明細!A8:E8', 'quotes/QT-2757_quotation.xlsx:明細!A9:E9', 'quotes/QT-2757_quotation.xlsx:明細!A11:E11', 'quotes/QT-2757_quotation.xlsx:明細!A12:E12', 'quotes/QT-2757_quotation.xlsx:明細!A13:E13']",False,15.298774399998365,6516,517,0.0209016,0,[],8,claude-sonnet-5,"['quotes/QT-2757_quotation.xlsx::シート サマリ', 'quotes/QT-2757_quotation.xlsx::シート 明細', 'quotes/QT-4752_quotation.xlsx::シート サマリ', 'quotes/QT-9281_quotation.xlsx::シート サマリ', 'projects/PRJ-5004_overview.docx::1. 案件概要', 'projects/PRJ-2515_overview.docx::1. 案件概要', 'projects/PRJ-5239_overview.docx::1. 案件概要', 'quotes/QT-6837_quotation.xlsx::シート サマリ']",,pilot-k8-forced,42,formula-02,formula,2,ja,classical,forced,0,True,exact,,True,
"74,884,700円",0.95,"['quotes/QT-4352_quotation.xlsx:明細!D4:D12', 'quotes/QT-4352_quotation.xlsx:サマリ!B2', 'quotes/QT-4352_quotation.xlsx:設定!B2', 'quotes/QT-4352_quotation.xlsx:サマリ!B4', 'quotes/QT-4352_quotation.xlsx:サマリ!B5']",False,14.155317900003865,6459,578,0.0212836,0,[],8,claude-sonnet-5,"['quotes/QT-4352_quotation.xlsx::シート サマリ', 'quotes/QT-4352_quotation.xlsx::シート 明細', 'quotes/QT-4352_quotation.xlsx::シート 設定', 'quotes/QT-4752_quotation.xlsx::シート サマリ', 'quotes/QT-7635_quotation.xlsx::シート サマリ', 'quotes/QT-8233_quotation.xlsx::シート サマリ', 'quotes/QT-6837_quotation.xlsx::シート サマリ', 'quotes/QT-9281_quotation.xlsx::シート サマリ']",,pilot-k8-forced,42,formula-03,formula,3,ja,classical,forced,0,True,exact,,True,
"45,449,000円",0.95,"['quotes/QT-2159_quotation.xlsx:サマリ!B2', 'quotes/QT-2159_quotation.xlsx:明細!D4:D11']",False,12.8278610999987,6557,400,0.0198956,0,[],8,claude-sonnet-5,"['quotes/QT-2159_quotation.xlsx::シート サマリ', 'quotes/QT-2159_quotation.xlsx::シート 明細', 'quotes/QT-4752_quotation.xlsx::シート サマリ', 'quotes/QT-6279_quotation.xlsx::シート サマリ', 'quotes/QT-7635_quotation.xlsx::シート サマリ', 'quotes/QT-9281_quotation.xlsx::シート サマリ', 'quotes/QT-1572_quotation.xlsx::シート サマリ', 'quotes/QT-6971_quotation.xlsx::シート サマリ']",,pilot-k8-forced,42,formula-04,formula,1,ja,classical,forced,0,True,exact,,True,
"54,418,000円",0.95,"['quotes/QT-1572_quotation.xlsx:明細!D4(搬入据付費)', 'quotes/QT-1572_quotation.xlsx:明細!D5(仮設電源費)', 'quotes/QT-1572_quotation.xlsx:明細!D6(既設撤去費)', 'quotes/QT-1572_quotation.xlsx:明細!D7(試験調整費)', 'quotes/QT-1572_quotation.xlsx:明細!D8(設計技術費)', 'quotes/QT-1572_quotation.xlsx:明細!D9(高圧受電盤)', 'quotes/QT-1572_quotation.xlsx:明細!D11(動力制御盤)', 'quotes/QT-1572_quotation.xlsx:明細!D12(計装ケーブル)', 'quotes/QT-1572_quotation.xlsx:明細!E4-E12(区分)']",False,14.839909100002842,6976,743,0.0250016,0,[],8,claude-sonnet-5,"['quotes/QT-1572_quotation.xlsx::シート 明細', 'quotes/QT-1572_quotation.xlsx::シート サマリ', 'projects/PRJ-2515_overview.docx::1. 案件概要', 'projects/PRJ-5004_overview.docx::1. 案件概要', 'projects/PRJ-5239_overview.docx::1. 案件概要', 'quotes/QT-6292_quotation.xlsx::シート 明細', 'quotes/QT-7282_quotation.xlsx::シート サマリ', 'quotes/QT-4752_quotation.xlsx::シート サマリ']",,pilot-k8-forced,42,formula-05,formula,2,ja,classical,forced,0,True,exact,,True,
"57,941,400円",0.95,"['quotes/QT-4752_quotation.xlsx:サマリ!B5 (=B2+B4)', ""quotes/QT-4752_quotation.xlsx:サマリ!B2 (=SUM('明細'!D4:D15))"", 'quotes/QT-4752_quotation.xlsx:明細!D4:D15', 'quotes/QT-4752_quotation.xlsx:設定!B2 (消費税率0.1)']",False,14.247936800005846,6589,728,0.0233036,0,[],8,claude-sonnet-5,"['quotes/QT-4752_quotation.xlsx::シート サマリ', 'quotes/QT-4752_quotation.xlsx::シート 明細', 'quotes/QT-4752_quotation.xlsx::シート 設定', 'quotes/QT-5453_quotation.xlsx::シート サマリ', 'quotes/QT-9281_quotation.xlsx::シート サマリ', 'quotes/QT-7635_quotation.xlsx::シート サマリ', 'quotes/QT-6837_quotation.xlsx::シート サマリ', 'quotes/QT-8053_quotation.xlsx::シート サマリ']",,pilot-k8-forced,42,formula-06,formula,3,ja,classical,forced,0,True,exact,,True,
46934000,0.95,"['quotes/QT-3936_quotation.xlsx:サマリ!B2', 'quotes/QT-3936_quotation.xlsx:明細!D4:D12']",False,12.817475600000762,6588,399,0.0200096,0,[],8,claude-sonnet-5,"['quotes/QT-3936_quotation.xlsx::シート サマリ', 'quotes/QT-3936_quotation.xlsx::シート 明細', 'quotes/QT-7635_quotation.xlsx::シート サマリ', 'quotes/QT-8233_quotation.xlsx::シート サマリ', 'quotes/QT-6279_quotation.xlsx::シート サマリ', 'quotes/QT-4752_quotation.xlsx::シート サマリ', 'quotes/QT-9281_quotation.xlsx::シート サマリ', 'quotes/QT-7543_quotation.xlsx::シート サマリ']",,pilot-k8-forced,42,formula-07,formula,1,ja,classical,forced,0,True,exact,,True,
23894000,0.98,"['quotes/QT-4436_quotation.xlsx:明細!D4(既設撤去費=265000,承認済)', 'quotes/QT-4436_quotation.xlsx:明細!D6(高圧受電盤=3805000,承認済)', 'quotes/QT-4436_quotation.xlsx:明細!D8(試験調整費=7194000,承認済)', 'quotes/QT-4436_quotation.xlsx:明細!D9(接地工事=1980000,承認済)', 'quotes/QT-4436_quotation.xlsx:明細!D10(保守部品一式=10650000,承認済)']",False,14.898360699997284,6914,504,0.022363599999999997,0,[],8,claude-sonnet-5,"['quotes/QT-4436_quotation.xlsx::シート サマリ', 'quotes/QT-4436_quotation.xlsx::シート 明細', 'quotes/QT-8233_quotation.xlsx::シート サマリ', 'quotes/QT-8233_quotation.xlsx::シート 明細', 'projects/PRJ-2515_overview.docx::1. 案件概要', 'projects/PRJ-5004_overview.docx::1. 案件概要', 'quotes/QT-7635_quotation.xlsx::シート サマリ', 'projects/PRJ-5239_overview.docx::1. 案件概要']",,pilot-k8-forced,42,formula-08,formula,2,ja,classical,forced,0,True,exact,,True,
63246700,0.95,"['quotes/QT-3345_quotation.xlsx:サマリ!B5', 'quotes/QT-3345_quotation.xlsx:サマリ!B2', 'quotes/QT-3345_quotation.xlsx:サマリ!B4', 'quotes/QT-3345_quotation.xlsx:明細!D4:D11', 'quotes/QT-3345_quotation.xlsx:設定!B2']",False,23.835866200002783,6412,574,0.007025999999999999,0,[],8,claude-sonnet-5,"['quotes/QT-3345_quotation.xlsx::シート サマリ', 'quotes/QT-3345_quotation.xlsx::シート 明細', 'quotes/QT-3345_quotation.xlsx::シート 設定', 'quotes/QT-4752_quotation.xlsx::シート サマリ', 'quotes/QT-8233_quotation.xlsx::シート サマリ', 'quotes/QT-6837_quotation.xlsx::シート サマリ', 'quotes/QT-7635_quotation.xlsx::シート サマリ', 'quotes/QT-5453_quotation.xlsx::シート サマリ']",,pilot-k8-forced,42,formula-09,formula,3,ja,classical,forced,0,True,exact,,True,1.0
"47,365,000円",0.95,"['quotes/QT-3956_quotation.xlsx:シート明細 A4:D11', 'quotes/QT-3956_quotation.xlsx:シートサマリ B2']",False,12.957821900003182,6543,446,0.0202996,0,[],8,claude-sonnet-5,"['quotes/QT-3956_quotation.xlsx::シート サマリ', 'quotes/QT-3956_quotation.xlsx::シート 明細', 'quotes/QT-1641_quotation.xlsx::シート サマリ', 'quotes/QT-6279_quotation.xlsx::シート サマリ', 'quotes/QT-7635_quotation.xlsx::シート サマリ', 'quotes/QT-7543_quotation.xlsx::シート サマリ', 'quotes/QT-6971_quotation.xlsx::シート サマリ', 'quotes/QT-9281_quotation.xlsx::シート サマリ']",,pilot-k8-forced,42,formula-10,formula,1,ja,classical,forced,0,True,exact,,True,1.0
