qid,channel,difficulty,k,file_recall,source_chunks_total,source_chunks_in_window,source_coverage,answer_literal,answer_literal_corpus,decoy_literal,top1_path
formula-01,formula,1,4,True,3,2,0.6666666666666666,False,False,False,quotes/QT-1641_quotation.xlsx
formula-01,formula,1,8,True,3,2,0.6666666666666666,False,False,False,quotes/QT-1641_quotation.xlsx
formula-01,formula,1,16,True,3,2,0.6666666666666666,False,False,False,quotes/QT-1641_quotation.xlsx
formula-01,formula,1,32,True,3,2,0.6666666666666666,False,False,False,quotes/QT-1641_quotation.xlsx
formula-02,formula,2,4,True,24,3,0.125,False,False,False,quotes/QT-2757_quotation.xlsx
formula-02,formula,2,8,True,24,3,0.125,False,False,False,quotes/QT-2757_quotation.xlsx
formula-02,formula,2,16,True,24,6,0.25,False,False,False,quotes/QT-2757_quotation.xlsx
formula-02,formula,2,32,True,24,9,0.375,False,False,False,quotes/QT-2757_quotation.xlsx
formula-03,formula,3,4,True,3,2,0.6666666666666666,False,False,True,quotes/QT-4352_quotation.xlsx
formula-03,formula,3,8,True,3,2,0.6666666666666666,False,False,True,quotes/QT-4352_quotation.xlsx
formula-03,formula,3,16,True,3,2,0.6666666666666666,False,False,True,quotes/QT-4352_quotation.xlsx
formula-03,formula,3,32,True,3,2,0.6666666666666666,False,False,True,quotes/QT-4352_quotation.xlsx
formula-04,formula,1,4,True,3,2,0.6666666666666666,False,False,False,quotes/QT-2159_quotation.xlsx
formula-04,formula,1,8,True,3,2,0.6666666666666666,False,False,False,quotes/QT-2159_quotation.xlsx
formula-04,formula,1,16,True,3,2,0.6666666666666666,False,False,False,quotes/QT-2159_quotation.xlsx
formula-04,formula,1,32,True,3,2,0.6666666666666666,False,False,False,quotes/QT-2159_quotation.xlsx
formula-05,formula,2,4,True,22,3,0.13636363636363635,False,False,False,quotes/QT-1572_quotation.xlsx
formula-05,formula,2,8,True,22,3,0.13636363636363635,False,False,False,quotes/QT-1572_quotation.xlsx
