qid,channel,difficulty,k,file_recall,source_chunks_total,source_chunks_in_window,source_coverage,answer_literal,answer_literal_in_source,answer_literal_corpus,decoy_literal,top1_path
chart_native-01,chart_native,1,8,True,2,1,0.5,True,True,True,False,utilisation/UT-3064_utilisation.xlsx
chart_native-02,chart_native,2,8,True,2,1,0.5,True,False,True,False,utilisation/UT-3391_utilisation.xlsx
chart_native-03,chart_native,3,8,True,2,1,0.5,True,True,True,True,utilisation/UT-3860_utilisation.xlsx
chart_native-04,chart_native,1,8,True,2,1,0.5,True,True,True,False,utilisation/UT-3629_utilisation.xlsx
chart_native-05,chart_native,2,8,True,2,1,0.5,True,False,True,False,utilisation/UT-1666_utilisation.xlsx
chart_native-06,chart_native,3,8,True,2,1,0.5,True,True,True,True,utilisation/UT-3297_utilisation.xlsx
chart_only-01,chart_only,1,8,True,1,1,1.0,True,True,True,False,reviews/CH-2766_review.pptx
chart_only-02,chart_only,2,8,True,1,1,1.0,False,False,True,False,reviews/CH-9750_review.pptx
chart_only-03,chart_only,3,8,True,1,1,1.0,False,False,True,True,reviews/CH-2766_review.pptx
chart_only-04,chart_only,1,8,True,1,1,1.0,True,True,True,False,reviews/CH-4814_review.pptx
chart_only-05,chart_only,2,8,True,1,1,1.0,False,False,True,False,reviews/CH-4814_review.pptx
chart_only-06,chart_only,3,8,True,1,1,1.0,False,False,True,True,reviews/CH-2666_review.pptx
cross_file-01,cross_file,1,8,True,3,3,1.0,False,False,False,False,cases/cf-3026/CF-3026-01_record.docx
cross_file-02,cross_file,2,8,True,10,8,0.8,False,False,False,False,cases/cf-1756/CF-1756-01_record.docx
cross_file-03,cross_file,3,8,True,11,8,0.7272727272727273,False,False,False,True,cases/cf-1461/CF-1461_summary.docx
cross_file-04,cross_file,1,8,True,3,3,1.0,False,False,False,False,cases/cf-4626/CF-4626-01_record.docx
cross_file-05,cross_file,2,8,True,10,8,0.8,False,False,False,False,cases/cf-4352/CF-4352-01_record.docx
cross_file-06,cross_file,3,8,True,11,8,0.7272727272727273,False,False,False,True,cases/cf-4485/CF-4485-01_record.docx
format-01,format,1,8,True,1,1,1.0,True,True,True,False,inspections/IL-1467_inspection.xlsx
format-02,format,2,8,True,1,1,1.0,True,True,True,False,inspections/IL-3927_inspection.xlsx
format-03,format,3,8,True,1,1,1.0,True,True,True,True,inspections/IL-3716_inspection.xlsx
format-04,format,1,8,True,1,1,1.0,True,True,True,False,inspections/IL-3276_inspection.xlsx
format-05,format,2,8,True,1,1,1.0,True,True,True,False,inspections/IL-1093_inspection.xlsx
format-06,format,3,8,True,1,1,1.0,True,True,True,True,inspections/IL-2762_inspection.xlsx
formula-01,formula,1,8,True,3,3,1.0,False,False,False,False,quotes/QT-1641_quotation.xlsx
formula-02,formula,2,8,True,20,1,0.05,False,False,False,False,quotes/QT-2757_quotation.xlsx
formula-03,formula,3,8,True,3,1,0.3333333333333333,False,False,False,True,quotes/QT-4352_quotation.xlsx
formula-04,formula,1,8,True,3,2,0.6666666666666666,False,False,False,False,quotes/QT-2159_quotation.xlsx
formula-05,formula,2,8,True,20,1,0.05,False,False,False,False,quotes/QT-1572_quotation.xlsx
formula-06,formula,3,8,True,3,3,1.0,False,False,False,True,quotes/QT-4752_quotation.xlsx
hidden-01,hidden,1,8,True,3,2,0.6666666666666666,True,True,True,False,proposals/PPT-3334_proposal.pptx
hidden-02,hidden,2,8,True,3,1,0.3333333333333333,False,False,True,False,proposals/PPT-2128_proposal.pptx
hidden-03,hidden,3,8,True,3,2,0.6666666666666666,False,False,True,True,proposals/PPT-3208_proposal.pptx
hidden-04,hidden,1,8,True,3,2,0.6666666666666666,True,True,True,False,proposals/PPT-4624_proposal.pptx
hidden-05,hidden,2,8,False,3,0,0.0,True,False,True,False,proposals/PPT-2128_proposal.pptx
hidden-06,hidden,3,8,True,3,2,0.6666666666666666,True,False,True,True,proposals/PPT-2128_proposal.pptx
layout-01,layout,1,8,True,2,2,1.0,True,True,True,False,facilities/LY-1456_seating.docx
layout-02,layout,2,8,True,1,1,1.0,True,False,True,False,facilities/LY-3754_seating.docx
layout-03,layout,3,8,True,2,2,1.0,True,True,True,True,facilities/LY-4223_seating.docx
layout-04,layout,1,8,True,2,2,1.0,True,True,True,False,facilities/LY-2102_seating.docx
layout-05,layout,2,8,True,1,1,1.0,True,False,True,False,facilities/LY-1789_seating.docx
layout-06,layout,3,8,True,2,2,1.0,True,True,True,True,facilities/LY-1560_seating.docx
locked-01,locked,1,8,True,3,1,0.3333333333333333,True,True,True,False,settlements/ST-2819_cover.docx
locked-02,locked,2,8,True,3,1,0.3333333333333333,False,False,False,False,settlements/ST-2417_cover.docx
locked-03,locked,3,8,True,3,1,0.3333333333333333,False,False,False,True,settlements/ST-2884_cover.docx
locked-04,locked,1,8,True,3,1,0.3333333333333333,True,True,True,False,settlements/ST-4499_cover.docx
locked-05,locked,2,8,True,3,1,0.3333333333333333,False,False,False,False,settlements/ST-5905_cover.docx
locked-06,locked,3,8,True,3,1,0.3333333333333333,False,False,False,True,settlements/ST-3308_cover.docx
scanned-01,scanned,1,8,True,1,1,1.0,True,True,True,False,inspection_reports/SC-1370_report.pdf
scanned-02,scanned,2,8,False,0,0,,False,False,False,False,inspection_reports/SC-1149_cover.docx
scanned-03,scanned,3,8,True,1,1,1.0,False,False,False,True,inspection_reports/SC-2030_cover.docx
scanned-04,scanned,1,8,True,1,1,1.0,True,True,True,False,inspection_reports/SC-2767_report.pdf
scanned-05,scanned,2,8,False,0,0,,False,False,False,False,inspection_reports/SC-1149_cover.docx
scanned-06,scanned,3,8,True,1,1,1.0,False,False,False,True,inspection_reports/SC-1149_cover.docx
text-01,text,1,8,True,6,2,0.3333333333333333,True,True,True,False,projects/PRJ-1269_overview.docx
text-02,text,1,8,True,6,3,0.5,True,True,True,False,projects/PRJ-1455_overview.docx
text-03,text,1,8,True,6,3,0.5,True,True,True,False,projects/PRJ-2978_overview.docx
text-04,text,2,8,True,6,1,0.16666666666666666,True,True,True,False,projects/PRJ-1418_overview.docx
