answer,confidence,evidence,abstained,latency_s,input_tokens,output_tokens,cost_usd,tool_calls,tool_names,tool_results,permission_denials,num_turns,files_opened,k,model,retrieved,error,run_id,seed,qid,channel,difficulty,locale,arm,mode,repeat,correct,judged_by,judge_reason,answered,answered_decoy,has_decoy,textual_refusal
"78,605,000円",0.95,"['quotes/QT-1641_quotation.xlsx:サマリ!B2', 'quotes/QT-1641_quotation.xlsx:明細!D5:D16']",False,13.308738800005813,2536,498,0.015119999999999998,0,[],0,0,1,[],4,claude-sonnet-5,"['quotes/QT-1641_quotation.xlsx::シート サマリ', 'quotes/QT-1641_quotation.xlsx::シート 明細', 'quotes/QT-1572_quotation.xlsx::シート サマリ', 'quotes/QT-3936_quotation.xlsx::シート サマリ']",,p0-seed42-ja,42,formula-01,formula,1,ja,classical,forced,0,True,exact,,True,False,False,False
算出不可（全299行中一部の明細しか抜粋されておらず、B2セルの計算値も示されていないため）,0.1,"[""quotes/QT-2757_quotation.xlsx:サマリ!B2 (=SUM('明細'!D5:D299)、計算結果値の記載なし)"", 'quotes/QT-2757_quotation.xlsx:明細(1) A5:D20', 'quotes/QT-2757_quotation.xlsx:明細(20) A261:D275']",False,42.60114969999995,3469,2950,0.043372,0,[],0,0,1,[],4,claude-sonnet-5,"['quotes/QT-2757_quotation.xlsx::シート サマリ', 'quotes/QT-2757_quotation.xlsx::シート 明細 (1)', 'quotes/QT-2757_quotation.xlsx::シート 明細 (20)', 'quotes/QT-4752_quotation.xlsx::シート サマリ']",,p0-seed42-ja,42,formula-02,formula,2,ja,classical,forced,0,False,exact,数値未回答で不正解,True,False,False,True
28671500,0.98,['quotes/QT-4352_quotation.xlsx:サマリ!B5'],False,12.167275499996322,2428,89,0.010598000000000002,0,[],0,0,1,[],4,claude-sonnet-5,"['quotes/QT-4352_quotation.xlsx::シート サマリ', 'quotes/QT-4352_quotation.xlsx::シート 明細', 'quotes/QT-5453_quotation.xlsx::シート サマリ', 'quotes/QT-5543_quotation.xlsx::シート サマリ']",,p0-seed42-ja,42,formula-03,formula,3,ja,classical,forced,0,False,exact,,True,True,True,False
39302000,0.9,"['quotes/QT-2159_quotation.xlsx:サマリ!B2', 'quotes/QT-2159_quotation.xlsx:明細!D5:D15']",False,12.79063099999621,2531,490,0.015019999999999999,0,[],0,0,1,[],4,claude-sonnet-5,"['quotes/QT-2159_quotation.xlsx::シート サマリ', 'quotes/QT-2159_quotation.xlsx::シート 明細', 'quotes/QT-1572_quotation.xlsx::シート サマリ', 'quotes/QT-2178_quotation.xlsx::シート サマリ']",,p0-seed42-ja,42,formula-04,formula,1,ja,classical,forced,0,True,exact,,True,False,False,False
抜粋からは算出不可（明細シートは全269行のうち一部の行しか提供されておらず、明細合計を計算できない。サマリのB2セルは数式のみで確定値が記載されていない）,0.1,"['QT-1572_quotation.xlsx:サマリ!B2(式のみ、値記載なし)', 'QT-1572_quotation.xlsx:明細(1)!A5:D20（D5:D269の一部のみ）', 'QT-1572_quotation.xlsx:明細(16)!A211:D225（D5:D269の一部のみ）']",True,40.534146600002714,3470,2602,0.039896,0,[],0,0,1,[],4,claude-sonnet-5,"['quotes/QT-1572_quotation.xlsx::シート サマリ', 'quotes/QT-1572_quotation.xlsx::シート 明細 (1)', 'quotes/QT-1572_quotation.xlsx::シート 明細 (16)', 'quotes/QT-4752_quotation.xlsx::シート サマリ']",,p0-seed42-ja,42,formula-05,formula,2,ja,classical,forced,0,False,exact,,False,False,False,False
79110900,0.7,"['quotes/QT-4752_quotation.xlsx:明細!A2（改訂: 第3版、数量見直し済み）', 'quotes/QT-4752_quotation.xlsx:明細!B5:C15（数量・単価、再計算した明細合計=71,919,000）', 'quotes/QT-4752_quotation.xlsx:サマリ!B4式（消費税率=B4/B2=10%、71,919,000×10%=7,191,900）']",False,37.701649100003124,2514,2944,0.039492,0,[],0,0,1,[],4,claude-sonnet-5,"['quotes/QT-4752_quotation.xlsx::シート サマリ', 'quotes/QT-4752_quotation.xlsx::シート 明細', 'quotes/QT-5453_quotation.xlsx::シート サマリ', 'quotes/QT-1572_quotation.xlsx::シート サマリ']",,p0-seed42-ja,42,formula-06,formula,3,ja,classical,forced,0,True,exact,,True,False,True,False
48407000,0.95,"['quotes/QT-3936_quotation.xlsx:サマリ B2', 'quotes/QT-3936_quotation.xlsx:明細 D5:D14']",False,12.301493300001312,2445,441,0.014185999999999999,0,[],0,0,1,[],4,claude-sonnet-5,"['quotes/QT-3936_quotation.xlsx::シート サマリ', 'quotes/QT-3936_quotation.xlsx::シート 明細', 'quotes/QT-3956_quotation.xlsx::シート サマリ', 'quotes/QT-1572_quotation.xlsx::シート サマリ']",,p0-seed42-ja,42,formula-07,formula,1,ja,classical,forced,0,True,exact,,True,False,False,False
110930000,0.2,['quotes/QT-4436_quotation.xlsx:明細!D5:D20（B2セルの計算式はD5:D296を参照するが、抜粋にはD20までしかデータがなく全範囲を確認できない）'],False,16.897826899999927,2807,895,0.020174,0,[],0,0,1,[],4,claude-sonnet-5,"['quotes/QT-4436_quotation.xlsx::シート サマリ', 'quotes/QT-4436_quotation.xlsx::シート 明細 (1)', 'quotes/QT-7543_quotation.xlsx::シート サマリ', 'quotes/QT-5453_quotation.xlsx::シート サマリ']",,p0-seed42-ja,42,formula-08,formula,2,ja,classical,forced,0,False,exact,数値が正解と一致しない,True,False,False,False
"32,595,200円",0.62,"['quotes/QT-3345_quotation.xlsx:サマリ!B5', 'quotes/QT-3345_quotation.xlsx:サマリ!B2', 'quotes/QT-3345_quotation.xlsx:サマリ!B4']",False,23.226778500000364,2385,1135,0.020886000000000002,0,[],0,0,1,[],4,claude-sonnet-5,"['quotes/QT-3345_quotation.xlsx::シート サマリ', 'quotes/QT-3345_quotation.xlsx::シート 明細', 'quotes/QT-5453_quotation.xlsx::シート サマリ', 'quotes/QT-3936_quotation.xlsx::シート サマリ']",,p0-seed42-ja,42,formula-09,formula,3,ja,classical,forced,0,False,exact,数値が正解と不一致,True,False,True,False
118148000,0.9,"['quotes/QT-3956_quotation.xlsx:サマリ!B2', 'quotes/QT-3956_quotation.xlsx:明細!D5:D16']",False,13.54071660000045,2539,515,0.015302,0,[],0,0,1,[],4,claude-sonnet-5,"['quotes/QT-3956_quotation.xlsx::シート サマリ', 'quotes/QT-3956_quotation.xlsx::シート 明細', 'quotes/QT-3936_quotation.xlsx::シート サマリ', 'quotes/QT-1572_quotation.xlsx::シート サマリ']",,p0-seed42-ja,42,formula-10,formula,1,ja,classical,forced,0,True,exact,,True,False,False,False
